country,latitude,longitude,region,continent,ev_stock,ev_sales,battery_demand_mwh_est,total_battery_factories,total_battery_capacity_gwh,dc_fast_chargers,ac_chargers,avg_power_kw,net_lithium_import_t,net_cobalt_import_t,net_nickel_import_t,net_graphite_import_t,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,lithium_production_t,cobalt_production_t,nickel_production_t,graphite_production_t,domestic_mineral_capacity,mineral_self_sufficiency_pct,import_dependency_pct,supply_risk_score,geopolitical_risk_score,supplier_diversity_index,disruption_probability,risk_category,factory_utilization_pct,battery_export_gwh,battery_import_gwh,production_cost_usd_per_kwh,average_factory_age_years,annual_battery_output_gwh,charger_density_per_1000_ev,public_charging_ratio,charging_readiness_score,charger_growth_rate_pct,transport_mode,average_shipping_distance_km,logistics_cost_usd_per_ton,on_time_delivery_rate_pct,carbon_emission_tco2,route_efficiency_score,warehouse_capacity_t,inventory_turnover_ratio,stockout_probability,date,year,quarter,month,month_name,week,day,fiscal_year,ev_market_growth_pct,battery_demand_growth_pct,manufacturing_dependency_score,infrastructure_score,logistics_risk_score,inventory_risk_score,overall_supply_chain_score
China,35.86,104.19,Eastern Asia,Asia,10222498,1329188,106244.9,83,758.26,213017,1133136,91.1,25642.67,93641.85,41598.62,332076.86,39.98,0.39,27.7,698267.42,4.6,229911,5197,100122,2851,338081,97.75,0,28.6,69,0.85,0.07,Medium,59.75,166.77,40.78,61.9,10.1,457.37,77.87,57.89,94.6,16.19,Air,3167.7,247.82,73.45,96.2,95.78,78937.61,13.34,0.14,28-05-2025,2025,Q2,5,May,22,28,2025,11.41,5.45,36.74,42.83,79.51,77.06,67.44
United Kingdom,55.38,-3.44,Northern Europe,Europe,1510711,213237,16586.14,11,116.44,14655,74016,76.6,13091.03,4957.17,65330.32,120088.28,35.41,3.02,38.9,106864.53,4.28,206552,77278,103952,184475,572257,15.57,81.88,63.9,63.7,0.57,0.12,High,61.18,301.43,107.64,116.01,20.5,362.76,18.4,46.92,27.2,16.32,Sea,4593.1,297.56,74.2,261.83,77.19,106338.83,13.2,0.34,03-05-2025,2025,Q2,5,May,18,3,2025,44.36,10.46,76.99,81.73,55.95,76.24,64.05
India,20.59,78.96,Southern Asia,Asia,408423,133467,12087.08,7,52.59,8749,62363,58.4,30372.54,30808.26,28913.36,9527.58,32.73,2.36,59.2,68615.91,4.33,51611,66280,65186,214618,397695,42.74,56.5,50.9,59,0.65,0.1,High,90.13,88.23,260.07,91.36,23.5,219.22,20.88,37.12,26.1,21.15,Air,2119.4,43.24,70.11,98.78,77.31,85857.64,6.29,0.12,09-10-2025,2025,Q4,10,October,41,9,2025,30.6,25.89,79.14,66.91,63.48,10.13,70.86
Indonesia,-0.79,113.92,Southeast Asia,Asia,129922,34021,2012.06,7,71.57,1885,13311,66.2,-46685.66,-11826.01,-10289.14,-5208.16,33.99,0.59,29.9,8165.52,2.5,220688,32762,55356,90261,399067,20.2,79.66,62.3,88.1,0.88,0.05,High,71.04,266.27,133.88,88.79,23,653.72,30.23,29.12,43.5,34.21,Rail,1520.4,179.13,89.68,85.02,85.05,6390.96,7.15,0.12,26-12-2024,2024,Q4,12,December,52,26,2024,21.05,6.02,28.57,50.36,19.41,32.98,61.04
France,46.23,2.21,Western Europe,Europe,1704643,224053,19702.89,18,120.22,13862,77623,85.6,60557.49,22066.24,101925.55,65556.44,23.42,3.76,75.4,135606.9,6.37,46407,3697,136185,62180,248469,51.64,48.13,41.7,65,0.93,0.03,Medium,61.73,314.15,204.4,107.32,13.8,779.75,71.06,47.98,83.2,9.23,Road,3535.4,291.95,97.46,72.04,57.75,16773.72,16.66,0.2,12-11-2025,2025,Q4,11,November,46,12,2025,41.89,19.11,26.71,83.49,45.98,32.37,65.32
Japan,36.2,138.25,Eastern Asia,Asia,1748776,246377,13483.15,15,141.03,19069,100409,85.2,104053.71,14802.81,42176.54,95227.08,42.97,0.65,28.5,64288.01,4.47,157333,14612,121914,56498,350357,88.57,8.58,46,78.2,0.48,0.17,Medium,55.87,244.65,129.02,129.91,17,578.05,65.33,61.19,81.6,16.5,Sea,4893.9,194,72.16,175.16,60.82,107647.02,2.72,0.45,14-06-2025,2025,Q2,6,June,24,14,2025,16.89,30.86,73.77,90.05,11.42,12.22,65.19
Norway,60.47,8.47,Northern Europe,Europe,924980,107167,3979.21,3,16.28,6592,26807,78.2,5849.1,7840.63,12936.77,13474.11,43.65,1.74,78.2,12656.82,6.37,192465,6673,149839,33289,382266,49.51,53.21,35.1,32.5,0.83,0.03,Medium,79.81,213.79,232.39,108.4,13.3,448.32,89.93,44.54,100,16.26,Air,3960.2,111.15,99.05,91.2,88.8,12953.05,4.56,0.34,26-10-2024,2024,Q4,10,October,43,26,2024,12.72,34.6,89.9,76.9,20.47,32.36,77.6
Indonesia,-0.79,113.92,Southeast Asia,Asia,138463,35986,3042.94,7,60.26,1907,11133,69.1,-64311.37,-15635.21,-2538.16,-20587,39.29,1.01,32.3,18096.1,4.21,30946,32970,52520,195615,312051,33.15,65.9,66.6,90.2,0.6,0.25,High,65.52,137.81,295.83,122.51,8.3,162.41,45.71,67.47,62.7,11.05,Air,3166.8,117.14,99.18,304.15,79.04,49274.81,9.57,0.02,02-04-2025,2025,Q2,4,April,14,2,2025,24.48,4.23,77.55,67.18,32.58,30.64,61.28
South Africa,-30.56,22.94,Southern Africa,Africa,73144,11483,847.74,1,5.32,769,3500,50.9,-17426.68,-4560.33,-10948.33,-10769.46,33.6,5.35,83.3,2578.54,5.7,201577,75472,147451,22701,447201,22.88,76.4,60,40.1,0.36,0.14,High,58.8,110.54,150.4,96.36,14.6,297.55,20.39,56.36,27.2,17.64,Air,1649.7,34.11,75.98,76.84,48.39,88210.82,7.05,0.22,13-07-2024,2024,Q3,7,July,28,13,2024,14.59,23.36,72.05,88.41,64.96,9.14,58.9
Germany,51.17,10.45,Western Europe,Europe,2521032,434651,23350.3,24,185.17,29778,116370,84.9,161428.46,81403.25,141547.91,92148.73,28.64,6.27,78.9,137276.15,6.41,184967,1936,117179,47395,351477,41.15,61.13,48.3,52.1,0.71,0.11,Medium,71.98,229.87,3.24,67.77,14.5,438.77,33.73,40.18,39.4,16.87,Road,721.7,268.27,93.98,15.41,95.6,29270.49,4.68,0.44,19-07-2024,2024,Q3,7,July,29,19,2024,23.62,20.1,49.21,51.89,14.4,6.19,67.79
France,46.23,2.21,Western Europe,Europe,1665285,246128,12005.48,13,91.61,14979,72850,78.9,91786.8,47796.48,46562.03,88005.5,44.77,0.76,29.3,32507.19,4.54,166708,19162,128296,28779,342945,76.59,22.88,37.2,68.9,0.83,0.07,Medium,86.79,166.5,72.38,119.11,2.9,365.29,30.43,54.78,36.8,13.95,Rail,4284.4,302.69,71.47,191.06,57.86,87956.9,4.3,0.11,15-08-2024,2024,Q3,8,August,33,15,2024,15.17,11.61,47.8,75.78,21.29,46.3,70.81
Brazil,-14.24,-51.93,South America,South America,186152,40832,2526.16,1,18.16,2476,15863,62.2,9800.82,11231.9,3149.48,4730.81,19.63,5.12,82.1,8911.7,4.63,78134,50700,123078,33301,285213,97.31,4.5,37.5,90.6,0.86,0.11,Medium,83.31,114.73,217.96,112.54,21.5,164.17,73.05,72.04,83.4,10.37,Air,4657,106.96,89.36,421.79,73.26,35416.1,7.15,0.23,19-07-2024,2024,Q3,7,July,29,19,2024,44.88,21.92,76.67,94.73,87.47,34.76,78.45
Norway,60.47,8.47,Northern Europe,Europe,829916,125923,11696.12,4,15.99,6621,22866,79.5,21568.21,12221.27,2160.09,12059.1,35.03,1.84,37.9,40693.13,3.17,241411,22361,81329,57425,402526,61.4,36.69,38.1,45.7,0.69,0.12,Medium,76.9,74.24,278.51,138.01,11,531.65,13.39,33.36,33,29.66,Road,3282.9,69.59,82.59,341.05,57.47,5848.04,14.2,0.4,05-12-2025,2025,Q4,12,December,49,5,2025,7.46,38.26,54.08,42.83,40.05,59.49,59.77
Brazil,-14.24,-51.93,South America,South America,194652,50547,2681.59,3,17.14,2879,18607,63.4,15311.44,3339.24,5394.14,14285.81,36.08,0.52,71.5,8342.23,5.72,193553,76489,92773,147826,510641,78.26,22.95,52.9,70.8,0.33,0.41,High,59.7,244.34,79.43,80.85,27.6,530.82,19.91,72.98,27.8,3.26,Rail,1320.6,173.96,77.68,132.45,55.52,80163.4,9.35,0.12,20-09-2024,2024,Q3,9,September,38,20,2024,31.52,29.54,52.81,86.65,51.45,16.9,62.24
Australia,-25.27,133.77,Oceania,Oceania,255807,51428,3958.66,5,49.15,5139,17745,59.5,-53241.52,-32811,-6554.95,-9928.89,27.05,3.55,49.3,6494.58,4.06,199541,74030,124670,90634,488875,19.08,79.35,65.8,40.1,0.2,0.26,High,84.41,166.21,197.68,94.5,10.5,447.55,51.79,48.34,67.5,33.09,Air,4545.6,81.27,78.23,328.98,88.74,94781.13,3.34,0.06,04-07-2025,2025,Q3,7,July,27,4,2025,34.58,6.55,84.64,88.59,71.15,12.54,73.98
Chile,-35.68,-71.54,South America,South America,89273,19024,1894,1,9.71,841,4704,55,-12371.7,-9865.22,-1237.02,-11792.25,43.33,0.9,16.8,5275.2,4.02,49906,77962,148126,128283,404277,81.81,19.36,38.3,51.6,0.55,0.15,Medium,64.01,198.94,93.31,56.26,6.7,623.05,28.67,51.21,35.5,20.44,Air,1358.6,126.58,83.82,128.57,96.72,92287.81,4.49,0.18,08-02-2024,2024,Q1,2,February,6,8,2023,27.05,19.79,86.52,97.92,50.21,8.27,80.09
Germany,51.17,10.45,Western Europe,Europe,2257118,401180,27434.3,22,191.97,31293,139050,94.3,162749.71,114254.78,105512.26,141060.72,27.6,2.69,41.2,69779.78,4.25,85894,59050,132810,94841,372595,55.86,42.73,35.8,41.5,0.79,0.05,Medium,85.13,55.31,159.49,123.69,24.8,406.71,31.88,83.33,43,19.55,Sea,3428.5,267.21,84.94,191.64,80.61,71211.54,13.26,0.16,22-06-2025,2025,Q2,6,June,25,22,2025,13.94,5.07,82.65,53.18,45.61,13.1,70.78
Canada,56.13,-106.35,North America,North America,413468,75673,5819.14,8,52.88,6721,26956,64.2,-26967.35,-32966.29,-38824.75,-39006.55,27.08,2.49,40,25272.77,3.42,145715,50605,107640,95512,399472,23.65,77.61,62.7,83.4,0.79,0.17,High,60.45,209.9,60.32,129.72,17,488.77,42.01,68.92,53.1,3.97,Road,2690.9,149.83,81.03,112.58,50.36,95190.93,16.52,0.07,11-07-2025,2025,Q3,7,July,28,11,2025,11.1,4.95,41.17,83.07,73.65,57.64,57.8
Japan,36.2,138.25,Eastern Asia,Asia,1761960,235580,11400.17,19,113.14,17049,88909,88.8,127361.09,37310.71,50126.89,87870.27,36.86,1.32,29,27835.46,2.73,135047,30417,36618,90669,292751,20.76,78.92,59,86.2,0.96,0.02,High,76.72,307.22,258.06,122.86,3.7,446.31,41.87,66.73,55,6.89,Road,264.9,201.2,97.92,19.25,62.28,8566.84,12.02,0.31,03-11-2025,2025,Q4,11,November,45,3,2025,40.77,33.73,69.35,77.51,11.02,65.73,64.38
France,46.23,2.21,Western Europe,Europe,1625625,213778,20507.39,14,130.77,15382,76265,82.4,87691.82,34253.83,43878.48,83901.63,30.88,1.93,41.2,87522.3,3.15,71915,27396,10996,119453,229760,13.5,86.92,43.2,21.2,0.82,0.02,Medium,77.12,134.29,85.31,116.85,23.4,508.29,75.36,27.11,83.2,32.76,Sea,3533.3,25.31,73,115.64,70.18,75177.31,13.64,0.45,07-06-2024,2024,Q2,6,June,23,7,2024,5.28,25.14,26.41,73.82,29.87,50.63,69.48
Norway,60.47,8.47,Northern Europe,Europe,848671,136952,11831.06,4,14.7,6453,27900,72.5,7029.84,10847.13,17363.45,3302.6,27.89,1.32,31.9,90014.53,2.74,210109,25180,51325,204739,491353,57.41,41.98,57.8,63.2,0.3,0.33,High,83.7,178.78,8.68,76.1,9.3,443.54,46.13,84.54,60.9,13.55,Air,978.3,63.01,79.79,62.5,95.42,35383.46,3.54,0.41,20-03-2025,2025,Q1,3,March,12,20,2024,29.43,35.53,41.8,78.1,15.47,40.57,74.86
China,35.86,104.19,Eastern Asia,Asia,10509182,1435948,98967.3,84,856.88,200137,1443406,100,458214.83,380707.06,35774.35,636439.19,20.35,0.32,33.7,150561.45,3.64,9466,39447,106918,218775,374606,32.26,68.59,53.1,81.3,0.98,0.01,High,68.12,9.58,51.78,74.12,17.2,252.6,7.04,81.29,12.7,26.4,Road,3922.4,291.62,83.91,392.42,94.93,52386.61,11.5,0.28,09-10-2024,2024,Q4,10,October,41,9,2024,39.59,15.13,50.94,64.06,68.65,43.24,68.5
Germany,51.17,10.45,Western Europe,Europe,2478241,396662,25533.78,20,199.85,30929,147630,91.4,54376.59,130182.3,176317.31,99435.4,44.69,0.98,87.8,149498.67,5.25,32257,68667,49560,41263,191747,79.05,19.08,50.6,68.1,0.33,0.44,High,76.64,125.82,240.5,120,5,565.18,71.18,73.69,76.7,9.44,Sea,2661.7,164.36,81.2,160.34,88.39,7104.47,5.15,0.02,01-04-2024,2024,Q2,4,April,14,1,2024,40.17,37.62,66.08,90.74,84.35,73.98,76.29
Norway,60.47,8.47,Northern Europe,Europe,945432,132072,12441.79,3,15.17,6838,21761,69.6,13849.45,11113.91,6946.17,13348.07,44.55,0.43,83.2,17364.14,5.34,146516,27008,46422,153734,373680,88.16,9,32.1,22,0.29,0.08,Medium,88.4,147.93,163.79,139.45,12,444.95,57.37,39.64,65.3,21.92,Road,4055.5,181.02,71.02,135.29,55.76,94167.24,15.84,0.3,15-05-2025,2025,Q2,5,May,20,15,2025,12.91,4.28,52.26,92.69,89.1,76.47,76.19
Canada,56.13,-106.35,North America,North America,405659,79057,6487.17,6,55.26,6523,26763,64.9,-64353.3,-3228.66,-28049.55,-37104.24,35.47,1.87,73.3,37951.19,5.99,17592,20999,101397,129697,269685,62.73,39.59,31.4,15,0.59,0.03,Medium,85.06,103.17,286.85,79.72,18.2,211.82,8.61,71.83,23.7,31.38,Rail,2711.4,196.66,88.79,264.71,80.22,45686.55,12.31,0.2,26-07-2024,2024,Q3,7,July,30,26,2024,23.24,34.72,38.42,45.49,76.87,23.33,69.84
Germany,51.17,10.45,Western Europe,Europe,2266821,366108,32495.54,27,168.15,25485,144999,88,91489.06,83953.98,93501.73,122109.79,20.54,1.3,72.8,65074.78,4.87,85018,8688,75397,164191,333294,26.52,71.37,47.7,36.5,0.67,0.09,Medium,67.58,70.79,140.42,64.74,18.2,319.86,12.14,28.54,25.4,4.33,Air,4299.3,223.64,78.57,305.01,75.05,80867.97,4.19,0.11,14-01-2025,2025,Q1,1,January,3,14,2024,5.77,5.32,30.82,68.82,75.07,47.23,65.94
South Africa,-30.56,22.94,Southern Africa,Africa,70843,12772,702.5,0,5.64,668,3440,47.7,-11433.6,-13774.85,-11140.22,-5234.21,32.98,2.72,41.3,4277.74,4.71,208712,52562,58273,142480,462027,71.02,30.42,52.9,74.4,0.46,0.19,High,76.99,219.43,82.21,120.89,23.5,608.35,33.33,76.16,41.1,20.6,Air,287.9,135.07,77.66,33.23,93.42,71173.1,2.92,0.17,18-09-2025,2025,Q3,9,September,38,18,2025,13.49,34.22,77.48,45.31,77.06,36.6,65.7
Australia,-25.27,133.77,Oceania,Oceania,238079,43363,1904.27,4,43.29,4585,22517,59.7,-25397.84,-25885.65,-40499,-12581.82,30.27,0.43,56.8,4855.7,4.61,34973,7197,8429,1293,51892,12.36,86.59,44.3,11.6,0.67,0.02,Medium,81.74,212.89,278.06,91.77,4.6,646.1,46.4,26.86,58.2,15.53,Road,3668.5,51.3,89.83,345.49,85.22,85731.61,11.31,0.41,17-06-2024,2024,Q2,6,June,25,17,2024,32.99,13.23,73.95,54.99,86.57,30.82,69.41
South Korea,36.5,127.75,Eastern Asia,Asia,912581,174772,17256.95,23,206.45,14809,54486,90.7,167107.93,57886.62,44008.48,75231.77,19.05,0.16,17.8,86002.01,3.18,225494,83607,9923,61352,380376,23.26,77.46,69.3,76,0.48,0.22,High,55.4,274.55,202.57,97.38,5.7,482.08,86.05,35.71,95.1,21.37,Rail,4495.1,117.13,90.37,249.27,94.99,108342.17,11.19,0.09,20-06-2024,2024,Q2,6,June,25,20,2024,42.94,30.27,77.68,87.06,77.46,21.51,67.04
Canada,56.13,-106.35,North America,North America,425601,63040,3334.66,8,57.91,5998,24905,74.3,-58593.88,-36839.09,-9949.82,-14021.34,22.74,1.32,27,20925.35,4.27,189910,65458,136558,14868,406794,91.51,11.16,54.8,87,0.32,0.25,High,83.05,238.87,56.04,123.48,10.1,430.33,19.81,48.46,28.1,27.25,Air,2767.3,205.3,89.44,288.98,83.16,713.53,10.96,0.03,07-10-2024,2024,Q4,10,October,41,7,2024,13.3,23.25,46.76,90.94,76.04,62.32,75.59
United States,39.83,-98.58,North America,North America,4958214,823887,70781.61,44,299.65,48672,181181,110.8,186222.79,86950.57,150976.97,20225.31,36.73,6.86,88.4,317115.39,5.12,171277,2478,495,21751,196001,37.15,61.67,66.6,88.2,0.53,0.3,High,81.77,298.2,65.49,88.42,10.1,738.62,28.9,68.39,47.6,15,Sea,3664.9,50.31,80.87,280.6,61.31,62400.05,7.36,0.06,07-11-2024,2024,Q4,11,November,45,7,2024,7.06,20.76,46.66,86.46,59.94,45.65,65.73
Japan,36.2,138.25,Eastern Asia,Asia,1740539,233161,14557.37,19,151.69,19629,92672,84.6,80858.63,6280.98,76033.2,36767.79,26.88,5.12,86.8,100607.71,4.87,80045,45127,118842,95387,339401,68.58,33.32,54.9,65.3,0.32,0.18,High,88.45,326.3,113.69,100.53,10.1,408.08,47.04,82.78,64.1,28.5,Air,4519.7,195.63,91.63,264.41,75.88,3303.39,10.92,0.24,25-08-2024,2024,Q3,8,August,34,25,2024,21.29,16.53,76.24,61.72,92.01,21.26,67.79
Australia,-25.27,133.77,Oceania,Oceania,264046,48506,4459.1,5,42.34,4853,20268,60.7,-31483.35,-22970.16,-6576.44,-38307.38,25.49,1.13,16.6,24203.28,2.5,201292,39514,87474,30945,359225,33.66,69.32,54.4,56.9,0.66,0.18,High,64.58,104.74,8.39,133.65,18.6,493.93,18.7,55.03,34.4,14.32,Air,2096.6,157.3,82.96,198.27,65.37,19231.45,4.72,0.19,20-11-2025,2025,Q4,11,November,47,20,2025,22.95,10.57,71.01,45.9,52.43,31.35,55.36
Japan,36.2,138.25,Eastern Asia,Asia,1672700,256856,15011.52,15,128.2,17872,94554,84.4,99390.44,33029.25,38529.59,6396.18,31.08,2.47,31.3,99181.38,3.99,94421,47654,109687,219095,470857,29.4,70.64,53.2,60.7,0.76,0.11,High,83.23,213.97,6.32,100.57,25.8,621.96,30.73,77.76,39.2,22.33,Rail,554.6,313.72,75.35,55.98,80.34,55811.31,6.85,0.33,07-08-2024,2024,Q3,8,August,32,7,2024,32.99,22.06,93.31,64.8,54.44,78.3,68.79
South Korea,36.5,127.75,Eastern Asia,Asia,800454,163199,9448.61,21,224.09,14756,43617,95.6,268288.47,121337.16,111661.92,36024.26,20.4,5.1,77.3,65207.82,5.84,86634,53680,1392,95403,237109,64.38,36.6,16.6,10.9,1,0,Low,91.65,303.13,264.34,123.65,9.6,799.04,66.86,34.1,75.2,27.1,Air,2220.7,289.68,70.6,86.68,95.18,57435.34,16.69,0.35,25-05-2024,2024,Q2,5,May,21,25,2024,10.86,14.71,34.56,87.66,34.32,68.51,89.47
South Africa,-30.56,22.94,Southern Africa,Africa,64990,12732,963.08,1,6.41,640,3937,48.5,-15873.57,-5235.53,-6497.02,-15186.73,36.87,2.61,51.4,2573.51,4.87,128080,36447,15209,61928,241664,35.35,64.64,63.3,78.5,0.56,0.27,High,67.24,225.62,112.96,111.21,24.7,616.39,54.68,55.62,63.1,5.48,Road,1771,197.61,88.47,133.59,71.85,112101.94,6,0.27,08-11-2024,2024,Q4,11,November,45,8,2024,15.44,6.94,32.3,82.32,63.35,62.84,64.53
South Korea,36.5,127.75,Eastern Asia,Asia,921242,160214,12772.78,25,230.43,15158,65590,93,247490.64,42717.08,70612.44,56361.14,23.51,1.06,24.2,37767.12,4.4,247823,38542,25800,120892,433057,83.19,18.16,18.9,27.2,0.9,0.02,Low,74.43,241.25,288.98,134.39,23.9,387.73,89.25,27.97,100,10.66,Air,1679.3,112.37,95.35,41.29,90.88,94277.26,13.88,0.06,02-11-2024,2024,Q4,11,November,44,2,2024,35.12,9.21,80.52,60.19,54.81,9.58,76.65
South Africa,-30.56,22.94,Southern Africa,Africa,61862,12195,850.4,1,6.76,622,2943,48.1,-23340.6,-3857.47,-16269.97,-10570.47,43.74,2.35,31,1661.7,3.49,74619,8569,144741,88461,316390,33.83,63.46,51.8,76,0.9,0.07,High,89.8,217.35,197.31,57.26,1.1,711.31,47.43,47.19,62.7,4.45,Air,3393.7,255.44,92.39,314.92,62.49,118173.39,17.55,0.12,18-07-2024,2024,Q3,7,July,29,18,2024,7.84,24.57,76.72,67.53,47.66,76.62,67
Germany,51.17,10.45,Western Europe,Europe,2088211,413652,32465.32,25,168.51,27933,97600,85.8,198254.05,117992.82,102828.59,80487.47,23.4,1.31,21.1,175435.54,3.99,145011,25230,98050,31038,299329,33.96,68.49,54.2,50.3,0.58,0.19,High,58.06,181.88,70.55,85.99,16.8,247.65,72.33,45.77,79.2,5.87,Road,3666.9,308.73,90.02,414.54,94.34,26413.17,12.28,0.08,07-03-2024,2024,Q1,3,March,10,7,2023,25.54,20.76,78.4,89.86,89.36,89.18,72.02
India,20.59,78.96,Southern Asia,Asia,391055,154684,9297.07,8,50.83,8567,58129,49.3,13578.59,25256.44,31461.24,48930.53,22,0.31,18.8,31496.84,3.55,117679,80925,74687,86750,360041,21.64,77.61,63.7,62.5,0.51,0.18,High,94.72,124.52,135.84,99.14,22,283.35,41.84,51.06,51,21.48,Air,2074.1,68.79,78.4,136.39,52.97,35367.61,10.35,0.08,16-03-2025,2025,Q1,3,March,11,16,2024,16.6,38.99,75.73,80.01,11.09,21.7,66
Brazil,-14.24,-51.93,South America,South America,188226,39014,2144.72,1,16.56,2086,18382,55.1,17824.17,1258.58,6168.25,6877.16,31.7,0.46,36.7,7300.89,4.36,201441,58765,147454,870,408530,33.78,68.12,47.3,19.8,0.45,0.05,Medium,76.28,114.82,92.03,130.31,4.3,508.63,10.67,37.31,28.6,22.24,Road,275.9,275.55,76.14,26.87,61.51,98336.23,8.37,0.33,19-02-2025,2025,Q1,2,February,8,19,2024,27.69,15.73,81.35,64.93,55.52,80.76,63.86
India,20.59,78.96,Southern Asia,Asia,368335,141925,11542.07,6,44.74,7707,75474,49.2,6948.83,30204.19,19624.18,19142.49,24.17,0.64,84.8,40270.01,6.28,7430,75106,162010,184388,428934,81.03,20.73,45.3,50.4,0.32,0.28,Medium,81.7,308.68,73.24,130.3,21,621.51,25.43,82.36,38,27.08,Sea,859.2,39.22,94.55,99.49,94.32,2778.75,2.83,0.39,31-08-2025,2025,Q3,8,August,35,31,2025,18.54,15.65,87.49,57.47,35.74,78.61,72.05
South Korea,36.5,127.75,Eastern Asia,Asia,912936,181882,7965.17,21,196.7,13225,61477,93.8,75313.11,8351.99,77035.69,114289.75,44.1,0.97,31.1,42726.43,4.22,26405,3045,133378,132256,295084,93.6,8.91,16.8,15.9,0.73,0.04,Low,82.81,62.16,89.27,136.07,21.3,179.05,11.66,45.13,25.3,23.4,Sea,3307.3,173.68,92.26,90.96,58.99,115633.66,9.05,0.27,09-07-2025,2025,Q3,7,July,28,9,2025,38.3,7.81,55.91,93.27,17.47,72.86,79.57
Canada,56.13,-106.35,North America,North America,417477,66785,4771.69,6,61.45,5416,25345,75.9,-5192.64,-27242.91,-51645.12,-57543.56,29.32,3.28,45.1,31585.74,5.24,218437,17390,18562,50613,305002,29.98,70.68,62.2,87.3,0.77,0.12,High,56.77,321.71,124.07,96.81,2.2,720.37,49.13,69,59.4,12.76,Road,4742.9,265.78,92.93,254.64,84.69,35995.02,16.41,0.41,25-01-2025,2025,Q1,1,January,4,25,2024,20.37,13.91,76.07,91.35,49.8,76.19,67.65
Australia,-25.27,133.77,Oceania,Oceania,273806,51842,2520.76,2,44.4,5393,24836,71,-45858.95,-16617.5,-38680.75,-42137.69,43.83,0.85,45.1,10294.42,4.26,206104,52188,136899,72845,468036,23.1,76.27,71,68.3,0.32,0.4,High,97.31,228.01,134.03,107.18,17.8,368.31,38.03,84.47,45.7,22.08,Rail,2916.1,134.42,88.37,290.23,94.73,97575.36,4.31,0.39,29-12-2024,2024,Q4,12,December,52,29,2024,27.32,19.03,90.57,52.04,68.18,64.07,68.27
China,35.86,104.19,Eastern Asia,Asia,11193478,1445316,121599.48,94,800.02,212830,1142331,94.4,879843.55,268264.4,656830.51,810712.9,37.92,0.52,25.6,817288.9,3.75,212927,2575,123587,9997,349086,54.77,43.62,30.6,11.3,0.62,0.04,Medium,58.9,85.34,279.89,135.64,24.1,573.74,69.38,53.05,78.9,7.15,Rail,654,315.15,92.87,21.52,58.97,20372.89,11.74,0.04,15-01-2024,2024,Q1,1,January,3,15,2023,6.73,27.39,80.41,82.27,72.73,17.95,67.39
South Korea,36.5,127.75,Eastern Asia,Asia,891799,181351,14743.54,16,189.74,15858,65044,99,114069.68,105889,97455.67,185229.78,21.96,0.73,78.2,117403.58,6.1,195872,39208,52464,21022,308566,78.76,22.05,44.9,57.4,0.43,0.3,Medium,64.49,273.45,68.69,77.38,9.5,361.6,77.21,49.93,94.6,5.08,Rail,1160.8,312.2,79.16,76.83,60.19,26027.37,17.38,0.14,17-10-2025,2025,Q4,10,October,42,17,2025,21.85,33.55,43.75,58.95,75.47,6.6,59.68
South Africa,-30.56,22.94,Southern Africa,Africa,73774,10910,947.93,0,5.29,684,3775,47.2,-812.48,-11913.09,-1213.22,-14081.93,30.26,0.4,25.4,7206.09,2.75,45396,14254,167246,206017,432913,67.21,31.51,43.5,87.7,0.94,0.04,Medium,55.09,215.86,128.08,103.87,16.7,303.69,73.46,26.36,88.6,29.5,Air,4108.2,213.76,70.3,135.26,53.54,2614.53,3.75,0.11,21-10-2025,2025,Q4,10,October,43,21,2025,29.28,35.92,24.45,43.13,12.73,62.17,52.06
China,35.86,104.19,Eastern Asia,Asia,10954502,1354462,101918.73,77,782.47,208961,1058994,89.5,836704.46,193409.27,348843.53,539428,21.9,0.85,51.5,691935.77,4.86,117664,78108,68112,179274,443158,82.41,18.62,44.8,57.2,0.39,0.32,Medium,66.04,149.66,284.64,117.96,10.5,256.38,42.42,50.86,58.8,23.65,Road,3345,183.95,79.41,330.77,69.63,97032.7,10.79,0.14,05-09-2024,2024,Q3,9,September,36,5,2024,42.04,12.02,47.6,47.36,47.05,77.14,59.56
Japan,36.2,138.25,Eastern Asia,Asia,1902228,262459,12082.98,20,141.87,18898,101879,85.6,152022.63,63304.6,9976.09,27118.05,24.51,1.16,68.8,52132.98,5.5,112146,33402,113623,171121,430292,23.84,73.39,43.8,51.8,1,0,Medium,82.76,244.34,173.44,123.19,7.9,536.65,52.54,32.67,66,16.05,Road,4421.9,302.66,70.29,361.02,57.44,53893.15,15.23,0.17,26-06-2025,2025,Q2,6,June,26,26,2025,14.29,19.02,39.95,49.27,39.87,7.28,61.42
Indonesia,-0.79,113.92,Southeast Asia,Asia,135639,39356,1937.22,7,60.49,2355,11280,74.7,-62771.23,-4579.53,-16113.82,-8596.41,42.59,4.68,65.9,8961.31,6.11,230756,58266,57416,196434,542872,92.8,9.59,49.8,89.8,0.5,0.28,Medium,94.07,34.26,104.57,82.02,7.2,160.09,76.59,46.56,90.7,3.39,Road,681.6,281.66,93.54,23.58,56.86,108746.66,15.77,0.36,14-09-2025,2025,Q3,9,September,37,14,2025,31.56,23.9,28.93,54.13,73.01,9.67,63.81
